;cat 1;cat 2;cat 3;cat 4;cat 5;cat final;url;url_node;node
48;Law;Taxation;0;0;0;finale;https://www.amazon.com/s?bbn=156915011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156915011%2Cn%3A157025011&dc&qid=1660771930&rnid=156915011&ref=lp_156915011_nr_n_18;https://www.amazon.com/s?i=digital-text&rh=n%3A157025011&fs=true&page=1;3A157025011
49;LGBTQ+ eBooks;Biographies & Memoirs;0;0;0;finale;https://www.amazon.com/s?bbn=156424011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156424011%2Cn%3A156425011&dc&qid=1660771932&rnid=156424011&ref=lp_156424011_nr_n_0;https://www.amazon.com/s?i=digital-text&rh=n%3A156425011&fs=true&page=1;3A156425011
50;LGBTQ+ eBooks;Drama & Plays;0;0;0;finale;https://www.amazon.com/s?bbn=156424011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156424011%2Cn%3A10886539011&dc&qid=1660771932&rnid=156424011&ref=lp_156424011_nr_n_2;https://www.amazon.com/s?i=digital-text&rh=n%3A10886539011&fs=true&page=1;3A10886539011
51;LGBTQ+ eBooks;LGBTQ+ Parenting & Families;0;0;0;finale;https://www.amazon.com/s?bbn=156424011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156424011%2Cn%3A18623137011&dc&qid=1660771932&rnid=156424011&ref=lp_156424011_nr_n_4;https://www.amazon.com/s?i=digital-text&rh=n%3A18623137011&fs=true&page=1;3A18623137011
52;LGBTQ+ eBooks;Literary Criticism;0;0;0;finale;https://www.amazon.com/s?bbn=156424011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156424011%2Cn%3A156428011&dc&qid=1660771932&rnid=156424011&ref=lp_156424011_nr_n_7;https://www.amazon.com/s?i=digital-text&rh=n%3A156428011&fs=true&page=1;3A156428011
53;LGBTQ+ eBooks;Mystery & Detective;0;0;0;finale;https://www.amazon.com/s?bbn=156424011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156424011%2Cn%3A7130633011&dc&qid=1660771932&rnid=156424011&ref=lp_156424011_nr_n_9;https://www.amazon.com/s?i=digital-text&rh=n%3A7130633011&fs=true&page=1;3A7130633011
54;LGBTQ+ eBooks;Poetry;0;0;0;finale;https://www.amazon.com/s?bbn=156424011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156424011%2Cn%3A6361450011&dc&qid=1660771932&rnid=156424011&ref=lp_156424011_nr_n_10;https://www.amazon.com/s?i=digital-text&rh=n%3A6361450011&fs=true&page=1;3A6361450011
55;LGBTQ+ eBooks;Politics;0;0;0;finale;https://www.amazon.com/s?bbn=156424011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156424011%2Cn%3A10886547011&dc&qid=1660771932&rnid=156424011&ref=lp_156424011_nr_n_11;https://www.amazon.com/s?i=digital-text&rh=n%3A10886547011&fs=true&page=1;3A10886547011
56;LGBTQ+ eBooks;Travel;0;0;0;finale;https://www.amazon.com/s?bbn=156424011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156424011%2Cn%3A10886546011&dc&qid=1660771932&rnid=156424011&ref=lp_156424011_nr_n_13;https://www.amazon.com/s?i=digital-text&rh=n%3A10886546011&fs=true&page=1;3A10886546011
57;Literature & Fiction;Absurdist;0;0;0;finale;https://www.amazon.com/s?bbn=157028011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157028011%2Cn%3A14530448011&dc&qid=1660771935&rnid=157028011&ref=lp_157028011_nr_n_0;https://www.amazon.com/s?i=digital-text&rh=n%3A14530448011&fs=true&page=1;3A14530448011
58;Literature & Fiction;Adaptations & Pastiche;0;0;0;finale;https://www.amazon.com/s?bbn=157028011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157028011%2Cn%3A18623138011&dc&qid=1660771935&rnid=157028011&ref=lp_157028011_nr_n_2;https://www.amazon.com/s?i=digital-text&rh=n%3A18623138011&fs=true&page=1;3A18623138011
59;Literature & Fiction;Animals;0;0;0;finale;https://www.amazon.com/s?bbn=157028011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157028011%2Cn%3A16232447011&dc&qid=1660771935&rnid=157028011&ref=lp_157028011_nr_n_3;https://www.amazon.com/s?i=digital-text&rh=n%3A16232447011&fs=true&page=1;3A16232447011
60;Literature & Fiction;People with Disabilities;0;0;0;finale;https://www.amazon.com/s?bbn=157028011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157028011%2Cn%3A24046916011&dc&qid=1660771935&rnid=157028011&ref=lp_157028011_nr_n_20;https://www.amazon.com/s?i=digital-text&rh=n%3A24046916011&fs=true&page=1;3A24046916011
61;Literature & Fiction;Small Town & Rural;0;0;0;finale;https://www.amazon.com/s?bbn=157028011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157028011%2Cn%3A14530449011&dc&qid=1660771935&rnid=157028011&ref=lp_157028011_nr_n_24;https://www.amazon.com/s?i=digital-text&rh=n%3A14530449011&fs=true&page=1;3A14530449011
62;Medical eBooks;Education & Training;0;0;0;finale;https://www.amazon.com/s?bbn=157119011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157119011%2Cn%3A157178011&dc&qid=1660771938&rnid=157119011&ref=lp_157119011_nr_n_6;https://www.amazon.com/s?i=digital-text&rh=n%3A157178011&fs=true&page=1;3A157178011
63;Medical eBooks;Environmental Health;0;0;0;finale;https://www.amazon.com/s?bbn=157119011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157119011%2Cn%3A18623139011&dc&qid=1660771938&rnid=157119011&ref=lp_157119011_nr_n_7;https://www.amazon.com/s?i=digital-text&rh=n%3A18623139011&fs=true&page=1;3A18623139011
64;Medical eBooks;Informatics;0;0;0;finale;https://www.amazon.com/s?bbn=157119011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157119011%2Cn%3A18623140011&dc&qid=1660771938&rnid=157119011&ref=lp_157119011_nr_n_8;https://www.amazon.com/s?i=digital-text&rh=n%3A18623140011&fs=true&page=1;3A18623140011
65;Medical eBooks;Military Medicine;0;0;0;finale;https://www.amazon.com/s?bbn=157119011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157119011%2Cn%3A18623147011&dc&qid=1660771938&rnid=157119011&ref=lp_157119011_nr_n_10;https://www.amazon.com/s?i=digital-text&rh=n%3A18623147011&fs=true&page=1;3A18623147011
